Tanggal,Provinsi,Running Sum of divaksin1 (ribu),divaksin1 (ribu)
1/13/2021,Yogyakarta,0,0
1/14/2021,Yogyakarta,0.872,0.872
1/15/2021,Yogyakarta,1.164,0.292
1/16/2021,Yogyakarta,1.476,0.312
1/18/2021,Yogyakarta,3.358,1.882
1/19/2021,Yogyakarta,4.815,1.457
1/20/2021,Yogyakarta,6.109,1.294
1/21/2021,Yogyakarta,7.276,1.167
1/22/2021,Yogyakarta,7.837,0.561
1/23/2021,Yogyakarta,8.45,0.613
1/24/2021,Yogyakarta,8.659,0.209
1/25/2021,Yogyakarta,10.052,1.393
1/26/2021,Yogyakarta,11.493,1.441
1/27/2021,Yogyakarta,13.282,1.789
1/28/2021,Yogyakarta,17.135,3.853
1/29/2021,Yogyakarta,18.126,0.991
1/30/2021,Yogyakarta,18.776,0.65
1/31/2021,Yogyakarta,18.826,0.05
2/1/2021,Yogyakarta,20.909,2.083
2/2/2021,Yogyakarta,23.446,2.537
2/3/2021,Yogyakarta,25.848,2.402
2/4/2021,Yogyakarta,27.9,2.052
2/5/2021,Yogyakarta,29.235,1.335
2/6/2021,Yogyakarta,30.364,1.129
2/7/2021,Yogyakarta,30.404,0.04
2/8/2021,Yogyakarta,31.015,0.611
2/9/2021,Yogyakarta,31.436,0.421
2/10/2021,Yogyakarta,31.86,0.424
2/11/2021,Yogyakarta,32.508,0.648
2/12/2021,Yogyakarta,32.509,0.001
2/13/2021,Yogyakarta,32.992,0.483
2/14/2021,Yogyakarta,32.996,0.004
2/15/2021,Yogyakarta,33.223,0.227
2/16/2021,Yogyakarta,33.458,0.235
2/17/2021,Yogyakarta,33.639,0.181
2/18/2021,Yogyakarta,33.913,0.274
2/19/2021,Yogyakarta,34.058,0.145
2/20/2021,Yogyakarta,35.017,0.959
2/21/2021,Yogyakarta,35.017,0
2/22/2021,Yogyakarta,35.459,0.442
2/23/2021,Yogyakarta,35.664,0.205
2/24/2021,Yogyakarta,35.796,0.132
2/25/2021,Yogyakarta,35.928,0.132
2/26/2021,Yogyakarta,36.006,0.078
2/27/2021,Yogyakarta,36.289,0.283
2/28/2021,Yogyakarta,36.519,0.23
3/1/2021,Yogyakarta,39.093,2.574
3/2/2021,Yogyakarta,43.252,4.159
3/3/2021,Yogyakarta,49.656,6.404
3/4/2021,Yogyakarta,58.947,9.291
3/5/2021,Yogyakarta,65.44,6.493
3/6/2021,Yogyakarta,71.17,5.73
3/7/2021,Yogyakarta,71.346,0.176
3/8/2021,Yogyakarta,76.084,4.738
3/9/2021,Yogyakarta,83.7,7.616
3/10/2021,Yogyakarta,93.045,9.345
3/11/2021,Yogyakarta,93.205,0.16
3/12/2021,Yogyakarta,97.207,4.002
3/13/2021,Yogyakarta,101.714,4.507
3/14/2021,Yogyakarta,101.929,0.215
3/15/2021,Yogyakarta,109.667,7.738
3/16/2021,Yogyakarta,119.379,9.712
3/17/2021,Yogyakarta,127.906,8.527
3/18/2021,Yogyakarta,137.598,9.692
3/19/2021,Yogyakarta,143.115,5.517
3/20/2021,Yogyakarta,146.999,3.884
3/21/2021,Yogyakarta,148.359,1.36
3/22/2021,Yogyakarta,155.317,6.958
3/23/2021,Yogyakarta,162.746,7.429
3/24/2021,Yogyakarta,170.077,7.331
3/25/2021,Yogyakarta,180.275,10.198
3/26/2021,Yogyakarta,187.866,7.591
3/27/2021,Yogyakarta,197.703,9.837
3/28/2021,Yogyakarta,200.798,3.095
3/29/2021,Yogyakarta,209.44,8.642
3/30/2021,Yogyakarta,219.613,10.173
3/31/2021,Yogyakarta,226.041,6.428
4/1/2021,Yogyakarta,233.727,7.686
4/2/2021,Yogyakarta,234.448,0.721
4/3/2021,Yogyakarta,235.969,1.521
4/4/2021,Yogyakarta,235.969,0
4/5/2021,Yogyakarta,240.924,4.955
4/6/2021,Yogyakarta,249.933,9.009
4/7/2021,Yogyakarta,259.431,9.498
4/8/2021,Yogyakarta,269.323,9.892
4/9/2021,Yogyakarta,275.964,6.641
4/10/2021,Yogyakarta,279.191,3.227
4/11/2021,Yogyakarta,279.202,0.011
4/12/2021,Yogyakarta,284.928,5.726
4/13/2021,Yogyakarta,287.717,2.789
4/14/2021,Yogyakarta,290.135,2.418
4/15/2021,Yogyakarta,294.288,4.153
4/16/2021,Yogyakarta,295.678,1.39
4/17/2021,Yogyakarta,298.446,2.768
4/18/2021,Yogyakarta,298.468,0.022
4/19/2021,Yogyakarta,302.147,3.679
4/20/2021,Yogyakarta,310.108,7.961
4/21/2021,Yogyakarta,317.707,7.599
4/22/2021,Yogyakarta,327.157,9.45
4/23/2021,Yogyakarta,330.961,3.804
4/24/2021,Yogyakarta,335.918,4.957
4/25/2021,Yogyakarta,335.943,0.025
4/26/2021,Yogyakarta,341.366,5.423
4/27/2021,Yogyakarta,347.283,5.917
4/28/2021,Yogyakarta,352.485,5.202
4/29/2021,Yogyakarta,359.48,6.995
4/30/2021,Yogyakarta,363.762,4.282
5/1/2021,Yogyakarta,363.832,0.07
5/2/2021,Yogyakarta,364.231,0.399
5/3/2021,Yogyakarta,367.241,3.01
5/4/2021,Yogyakarta,372.527,5.286
5/5/2021,Yogyakarta,378.508,5.981
5/6/2021,Yogyakarta,384.298,5.79
5/7/2021,Yogyakarta,387.308,3.01
5/8/2021,Yogyakarta,391.73,4.422
5/9/2021,Yogyakarta,392.516,0.786
5/10/2021,Yogyakarta,395.952,3.436
5/11/2021,Yogyakarta,397.906,1.954
5/12/2021,Yogyakarta,398.146,0.24
5/13/2021,Yogyakarta,398.146,0
5/14/2021,Yogyakarta,398.146,0
5/15/2021,Yogyakarta,398.173,0.027
5/16/2021,Yogyakarta,398.186,0.013
5/17/2021,Yogyakarta,399.433,1.247
5/18/2021,Yogyakarta,401.95,2.517
5/19/2021,Yogyakarta,405.19,3.24
5/20/2021,Yogyakarta,408.473,3.283
5/21/2021,Yogyakarta,410.276,1.803
5/22/2021,Yogyakarta,412.304,2.028
5/23/2021,Yogyakarta,414.223,1.919
5/24/2021,Yogyakarta,417.772,3.549
5/25/2021,Yogyakarta,422.071,4.299
5/26/2021,Yogyakarta,422.1,0.029
5/27/2021,Yogyakarta,427.675,5.575
5/28/2021,Yogyakarta,429.243,1.568
5/29/2021,Yogyakarta,432.278,3.035
5/30/2021,Yogyakarta,434.516,2.238
5/31/2021,Yogyakarta,438.281,3.765
6/1/2021,Yogyakarta,438.287,0.006
6/2/2021,Yogyakarta,440.82,2.533
6/3/2021,Yogyakarta,447.028,6.208
6/4/2021,Yogyakarta,450.274,3.246
6/5/2021,Yogyakarta,452.551,2.277
6/6/2021,Yogyakarta,452.584,0.033
6/7/2021,Yogyakarta,458.563,5.979
6/8/2021,Yogyakarta,467.14,8.577
6/9/2021,Yogyakarta,477.971,10.831
6/10/2021,Yogyakarta,491.052,13.081
6/11/2021,Yogyakarta,497.855,6.803
6/12/2021,Yogyakarta,506.602,8.747
6/13/2021,Yogyakarta,507.053,0.451
6/14/2021,Yogyakarta,519.326,12.273
6/15/2021,Yogyakarta,534.692,15.366
6/16/2021,Yogyakarta,551.381,16.689
6/17/2021,Yogyakarta,568.755,17.374
6/18/2021,Yogyakarta,578.879,10.124
6/19/2021,Yogyakarta,589.865,10.986
6/20/2021,Yogyakarta,596.938,7.073
6/21/2021,Yogyakarta,615.353,18.415
6/22/2021,Yogyakarta,637.081,21.728
6/23/2021,Yogyakarta,665.193,28.112
6/24/2021,Yogyakarta,691.734,26.541
6/25/2021,Yogyakarta,705.931,14.197
6/26/2021,Yogyakarta,732.158,26.227
6/27/2021,Yogyakarta,735.294,3.136
6/28/2021,Yogyakarta,752.27,16.976
6/29/2021,Yogyakarta,772.201,19.931
6/30/2021,Yogyakarta,790.106,17.905
7/1/2021,Yogyakarta,802.667,12.561
7/2/2021,Yogyakarta,808.755,6.088
7/3/2021,Yogyakarta,815.657,6.902
7/4/2021,Yogyakarta,817.075,1.418
7/5/2021,Yogyakarta,830.71,13.635
7/6/2021,Yogyakarta,847.829,17.119
7/7/2021,Yogyakarta,866.304,18.475
7/8/2021,Yogyakarta,884.83,18.526
7/9/2021,Yogyakarta,894.311,9.481
7/10/2021,Yogyakarta,903.289,8.978
7/11/2021,Yogyakarta,905.187,1.898
7/12/2021,Yogyakarta,920.246,15.059
7/13/2021,Yogyakarta,939.564,19.318
7/14/2021,Yogyakarta,958.06,18.496
7/15/2021,Yogyakarta,980.182,22.122
7/16/2021,Yogyakarta,989.67,9.488
7/17/2021,Yogyakarta,999.72,10.05
7/18/2021,Yogyakarta,1002.275,2.555
7/19/2021,Yogyakarta,1013.219,10.944
7/20/2021,Yogyakarta,1013.761,0.542
7/21/2021,Yogyakarta,1029.738,15.977
7/22/2021,Yogyakarta,1049.376,19.638
7/23/2021,Yogyakarta,1059.163,9.787
7/24/2021,Yogyakarta,1071.101,11.938
7/25/2021,Yogyakarta,1076.335,5.234
7/26/2021,Yogyakarta,1097.179,20.844
7/27/2021,Yogyakarta,1119.611,22.432
7/28/2021,Yogyakarta,1144.119,24.508
7/29/2021,Yogyakarta,1168.322,24.203
7/30/2021,Yogyakarta,1177.505,9.183
7/31/2021,Yogyakarta,1190.02,12.515
8/1/2021,Yogyakarta,1194.865,4.845
8/2/2021,Yogyakarta,1206.146,11.281
8/3/2021,Yogyakarta,1219.333,13.187
8/4/2021,Yogyakarta,1232.102,12.769
8/5/2021,Yogyakarta,1248.375,16.273
8/6/2021,Yogyakarta,1258.103,9.728
8/7/2021,Yogyakarta,1269.603,11.5
8/8/2021,Yogyakarta,1274.817,5.214
8/9/2021,Yogyakarta,1288.864,14.047
8/10/2021,Yogyakarta,1297.83,8.966
8/11/2021,Yogyakarta,1300.192,2.362
8/12/2021,Yogyakarta,1317.058,16.866
8/13/2021,Yogyakarta,1328.889,11.831
8/14/2021,Yogyakarta,1342.665,13.776
8/15/2021,Yogyakarta,1344.608,1.943
8/16/2021,Yogyakarta,1359.982,15.374
8/17/2021,Yogyakarta,1365.685,5.703
8/18/2021,Yogyakarta,1386.613,20.928
8/19/2021,Yogyakarta,1409.505,22.892
8/20/2021,Yogyakarta,1421.081,11.576
8/21/2021,Yogyakarta,1444.653,23.572
8/22/2021,Yogyakarta,1451.454,6.801
8/23/2021,Yogyakarta,1469.447,17.993
8/24/2021,Yogyakarta,1491.586,22.139
8/25/2021,Yogyakarta,1523.301,31.715
8/26/2021,Yogyakarta,1557.464,34.163
8/27/2021,Yogyakarta,1584.723,27.259
8/28/2021,Yogyakarta,1619.675,34.952
8/29/2021,Yogyakarta,1630.643,10.968
8/30/2021,Yogyakarta,1655.549,24.906
8/31/2021,Yogyakarta,1684.001,28.452
9/1/2021,Yogyakarta,1713.008,29.007
9/2/2021,Yogyakarta,1745.308,32.3
9/3/2021,Yogyakarta,1770.213,24.905
9/4/2021,Yogyakarta,1800.462,30.249
9/5/2021,Yogyakarta,1812.6,12.138
9/6/2021,Yogyakarta,1842.634,30.034
9/7/2021,Yogyakarta,1879.96,37.326
9/8/2021,Yogyakarta,1915.702,35.742
9/9/2021,Yogyakarta,1956.476,40.774
9/10/2021,Yogyakarta,1977.919,21.443
9/11/2021,Yogyakarta,2006.661,28.742
9/12/2021,Yogyakarta,2014.837,8.176
9/13/2021,Yogyakarta,2044.4,29.563
9/14/2021,Yogyakarta,2079.413,35.013
9/15/2021,Yogyakarta,2109.134,29.721
9/16/2021,Yogyakarta,2145.682,36.548
9/17/2021,Yogyakarta,2170.752,25.07
9/18/2021,Yogyakarta,2205.231,34.479
9/19/2021,Yogyakarta,2211.228,5.997
9/20/2021,Yogyakarta,2233.183,21.955
9/21/2021,Yogyakarta,2252.684,19.501
9/22/2021,Yogyakarta,2279.993,27.309
9/23/2021,Yogyakarta,2307.336,27.343
9/24/2021,Yogyakarta,2318.363,11.027
9/25/2021,Yogyakarta,2337.281,18.918
9/26/2021,Yogyakarta,2344.807,7.526
9/27/2021,Yogyakarta,2356.416,11.609
9/28/2021,Yogyakarta,2374.32,17.904
9/29/2021,Yogyakarta,2396.521,22.201
9/30/2021,Yogyakarta,2415.112,18.591
10/1/2021,Yogyakarta,2421.476,6.364
10/2/2021,Yogyakarta,2437.227,15.751
10/3/2021,Yogyakarta,2441.648,4.421
10/4/2021,Yogyakarta,2455.271,13.623
10/5/2021,Yogyakarta,2468.533,13.262
10/6/2021,Yogyakarta,2487.786,19.253
10/7/2021,Yogyakarta,2501.48,13.694
10/8/2021,Yogyakarta,2509.443,7.963
10/9/2021,Yogyakarta,2527.317,17.874
10/10/2021,Yogyakarta,2530.926,3.609
10/11/2021,Yogyakarta,2538.122,7.196
10/12/2021,Yogyakarta,2551.76,13.638
10/13/2021,Yogyakarta,2563.253,11.493
10/14/2021,Yogyakarta,2570.567,7.314
10/15/2021,Yogyakarta,2577.428,6.861
10/16/2021,Yogyakarta,2587.157,9.729
10/17/2021,Yogyakarta,2589.738,2.581
10/18/2021,Yogyakarta,2601.487,11.749
10/19/2021,Yogyakarta,2608.32,6.833
10/20/2021,Yogyakarta,2612.055,3.735
10/21/2021,Yogyakarta,2620.787,8.732
10/22/2021,Yogyakarta,2627.201,6.414
10/23/2021,Yogyakarta,2637.284,10.083
10/24/2021,Yogyakarta,2641.499,4.215
10/25/2021,Yogyakarta,2649.6,8.101
10/26/2021,Yogyakarta,2658.345,8.745
10/27/2021,Yogyakarta,2667.148,8.803
10/28/2021,Yogyakarta,2675.003,7.855
10/29/2021,Yogyakarta,2678.771,3.768
10/30/2021,Yogyakarta,2685.829,7.058
10/31/2021,Yogyakarta,2687.985,2.156
11/1/2021,Yogyakarta,2693.91,5.925
11/2/2021,Yogyakarta,2699.494,5.584
11/3/2021,Yogyakarta,2704.972,5.478
11/4/2021,Yogyakarta,2712.228,7.256
11/5/2021,Yogyakarta,2715.675,3.447
11/6/2021,Yogyakarta,2720.38,4.705
11/7/2021,Yogyakarta,2722.213,1.833
11/8/2021,Yogyakarta,2727.097,4.884
11/9/2021,Yogyakarta,2731.603,4.506
11/10/2021,Yogyakarta,2735.764,4.161
11/11/2021,Yogyakarta,2741.882,6.118
11/12/2021,Yogyakarta,2744.352,2.47
11/13/2021,Yogyakarta,2749.407,5.055
11/14/2021,Yogyakarta,2750.958,1.551
11/15/2021,Yogyakarta,2754.432,3.474
11/16/2021,Yogyakarta,2759.398,4.966
11/17/2021,Yogyakarta,2764.267,4.869
11/18/2021,Yogyakarta,2767.773,3.506
11/19/2021,Yogyakarta,2769.62,1.847
11/20/2021,Yogyakarta,2771.744,2.124
11/21/2021,Yogyakarta,2773.464,1.72
11/22/2021,Yogyakarta,2776.455,2.991
11/23/2021,Yogyakarta,2780.549,4.094
11/24/2021,Yogyakarta,2783.295,2.746
11/25/2021,Yogyakarta,2787.825,4.53
11/26/2021,Yogyakarta,2789.221,1.396
11/27/2021,Yogyakarta,2791.814,2.593
11/28/2021,Yogyakarta,2792.366,0.552
11/29/2021,Yogyakarta,2795.752,3.386
11/30/2021,Yogyakarta,2797.742,1.99
12/1/2021,Yogyakarta,2800.157,2.415
12/2/2021,Yogyakarta,2802.572,2.415
12/3/2021,Yogyakarta,2803.771,1.199
12/4/2021,Yogyakarta,2804.893,1.122
12/5/2021,Yogyakarta,2805.092,0.199
12/6/2021,Yogyakarta,2806.533,1.441
12/7/2021,Yogyakarta,2808.542,2.009
12/8/2021,Yogyakarta,2810.913,2.371
12/9/2021,Yogyakarta,2814.228,3.315
12/10/2021,Yogyakarta,2815.914,1.686
12/11/2021,Yogyakarta,2817.381,1.467
12/12/2021,Yogyakarta,2818.186,0.805
12/13/2021,Yogyakarta,2819.785,1.599
12/14/2021,Yogyakarta,2822.034,2.249
12/15/2021,Yogyakarta,2824.38,2.346
12/16/2021,Yogyakarta,2826.576,2.196
12/17/2021,Yogyakarta,2827.711,1.135
12/18/2021,Yogyakarta,2829.797,2.086
12/19/2021,Yogyakarta,2830.225,0.428
12/20/2021,Yogyakarta,2831.244,1.019
12/21/2021,Yogyakarta,2833.573,2.329
12/22/2021,Yogyakarta,2835.985,2.412
12/23/2021,Yogyakarta,2838.042,2.057
12/24/2021,Yogyakarta,2838.689,0.647
12/25/2021,Yogyakarta,2838.701,0.012
12/26/2021,Yogyakarta,2838.959,0.258
12/27/2021,Yogyakarta,2840.263,1.304
1/13/2021,Sumatera Utara,0.001,0.001
1/14/2021,Sumatera Utara,0.102,0.101
1/15/2021,Sumatera Utara,0.303,0.201
1/16/2021,Sumatera Utara,0.393,0.09
1/17/2021,Sumatera Utara,0.401,0.008
1/18/2021,Sumatera Utara,0.821,0.42
1/19/2021,Sumatera Utara,1.362,0.541
1/20/2021,Sumatera Utara,2.596,1.234
1/21/2021,Sumatera Utara,3.88,1.284
1/22/2021,Sumatera Utara,5.262,1.382
1/23/2021,Sumatera Utara,5.953,0.691
1/24/2021,Sumatera Utara,6.005,0.052
1/25/2021,Sumatera Utara,7.417,1.412
1/26/2021,Sumatera Utara,8.184,0.767
1/27/2021,Sumatera Utara,9.117,0.933
1/28/2021,Sumatera Utara,10.181,1.064
1/29/2021,Sumatera Utara,11.077,0.896
1/30/2021,Sumatera Utara,11.451,0.374
1/31/2021,Sumatera Utara,11.489,0.038
2/1/2021,Sumatera Utara,12.884,1.395
2/2/2021,Sumatera Utara,13.787,0.903
2/3/2021,Sumatera Utara,15.389,1.602
2/4/2021,Sumatera Utara,18.482,3.093
2/5/2021,Sumatera Utara,22.003,3.521
2/6/2021,Sumatera Utara,25.004,3.001
2/7/2021,Sumatera Utara,25.367,0.363
2/8/2021,Sumatera Utara,29.328,3.961
2/9/2021,Sumatera Utara,34.068,4.74
2/10/2021,Sumatera Utara,40.614,6.546
2/11/2021,Sumatera Utara,45.499,4.885
2/12/2021,Sumatera Utara,45.964,0.465
2/13/2021,Sumatera Utara,47.464,1.5
2/14/2021,Sumatera Utara,47.93,0.466
2/15/2021,Sumatera Utara,50.948,3.018
2/16/2021,Sumatera Utara,54.281,3.333
2/17/2021,Sumatera Utara,57.593,3.312
2/18/2021,Sumatera Utara,60.27,2.677
2/19/2021,Sumatera Utara,62.301,2.031
2/20/2021,Sumatera Utara,63.034,0.733
2/21/2021,Sumatera Utara,63.058,0.024
2/22/2021,Sumatera Utara,64.905,1.847
2/23/2021,Sumatera Utara,66.158,1.253
2/24/2021,Sumatera Utara,67.732,1.574
2/25/2021,Sumatera Utara,68.57,0.838
2/26/2021,Sumatera Utara,68.999,0.429
2/27/2021,Sumatera Utara,69.668,0.669
2/28/2021,Sumatera Utara,69.711,0.043
3/1/2021,Sumatera Utara,70.635,0.924
3/2/2021,Sumatera Utara,71.812,1.177
3/3/2021,Sumatera Utara,75.314,3.502
3/4/2021,Sumatera Utara,81.076,5.762
3/5/2021,Sumatera Utara,88.211,7.135
3/6/2021,Sumatera Utara,90.805,2.594
3/7/2021,Sumatera Utara,91.334,0.529
3/8/2021,Sumatera Utara,99.32,7.986
3/9/2021,Sumatera Utara,108.019,8.699
3/10/2021,Sumatera Utara,119.619,11.6
3/11/2021,Sumatera Utara,120.663,1.044
3/12/2021,Sumatera Utara,129.058,8.395
3/13/2021,Sumatera Utara,133.19,4.132
3/14/2021,Sumatera Utara,133.429,0.239
3/15/2021,Sumatera Utara,142.138,8.709
3/16/2021,Sumatera Utara,151.014,8.876
3/17/2021,Sumatera Utara,160.405,9.391
3/18/2021,Sumatera Utara,171.133,10.728
3/19/2021,Sumatera Utara,179.463,8.33
3/20/2021,Sumatera Utara,183.42,3.957
3/21/2021,Sumatera Utara,183.733,0.313
3/22/2021,Sumatera Utara,194.788,11.055
3/23/2021,Sumatera Utara,208.821,14.033
3/24/2021,Sumatera Utara,221.749,12.928
3/25/2021,Sumatera Utara,235.132,13.383
3/26/2021,Sumatera Utara,244.116,8.984
3/27/2021,Sumatera Utara,247.401,3.285
3/28/2021,Sumatera Utara,247.914,0.513
3/29/2021,Sumatera Utara,259.005,11.091
3/30/2021,Sumatera Utara,268.876,9.871
3/31/2021,Sumatera Utara,278.564,9.688
4/1/2021,Sumatera Utara,286.466,7.902
4/2/2021,Sumatera Utara,286.827,0.361
4/3/2021,Sumatera Utara,289.376,2.549
4/4/2021,Sumatera Utara,289.415,0.039
4/5/2021,Sumatera Utara,295.647,6.232
4/6/2021,Sumatera Utara,302.388,6.741
4/7/2021,Sumatera Utara,312.276,9.888
4/8/2021,Sumatera Utara,321.748,9.472
4/9/2021,Sumatera Utara,329.823,8.075
4/10/2021,Sumatera Utara,335.899,6.076
4/11/2021,Sumatera Utara,336.893,0.994
4/12/2021,Sumatera Utara,347.619,10.726
4/13/2021,Sumatera Utara,355.066,7.447
4/14/2021,Sumatera Utara,362.646,7.58
4/15/2021,Sumatera Utara,370.56,7.914
4/16/2021,Sumatera Utara,376.186,5.626
4/17/2021,Sumatera Utara,378.997,2.811
4/18/2021,Sumatera Utara,379.37,0.373
4/19/2021,Sumatera Utara,387.619,8.249
4/20/2021,Sumatera Utara,395.376,7.757
4/21/2021,Sumatera Utara,402.035,6.659
4/22/2021,Sumatera Utara,409.219,7.184
4/23/2021,Sumatera Utara,413.969,4.75
4/24/2021,Sumatera Utara,416.389,2.42
4/25/2021,Sumatera Utara,417.035,0.646
4/26/2021,Sumatera Utara,422.447,5.412
4/27/2021,Sumatera Utara,427.887,5.44
4/28/2021,Sumatera Utara,434.445,6.558
4/29/2021,Sumatera Utara,441.535,7.09
4/30/2021,Sumatera Utara,447.532,5.997
5/1/2021,Sumatera Utara,449.902,2.37
5/2/2021,Sumatera Utara,450.791,0.889
5/3/2021,Sumatera Utara,459.111,8.32
5/4/2021,Sumatera Utara,467.715,8.604
5/5/2021,Sumatera Utara,476.139,8.424
5/6/2021,Sumatera Utara,486.301,10.162
5/7/2021,Sumatera Utara,496.753,10.452
5/8/2021,Sumatera Utara,502.579,5.826
5/9/2021,Sumatera Utara,503.261,0.682
5/10/2021,Sumatera Utara,512.142,8.881
5/11/2021,Sumatera Utara,519.107,6.965
5/12/2021,Sumatera Utara,520.95,1.843
5/13/2021,Sumatera Utara,521.028,0.078
5/14/2021,Sumatera Utara,521.062,0.034
5/15/2021,Sumatera Utara,521.745,0.683
5/16/2021,Sumatera Utara,521.792,0.047
5/17/2021,Sumatera Utara,526.023,4.231
5/18/2021,Sumatera Utara,534.761,8.738
5/19/2021,Sumatera Utara,545.218,10.457
5/20/2021,Sumatera Utara,557.903,12.685
5/21/2021,Sumatera Utara,568.611,10.708
5/22/2021,Sumatera Utara,571.512,2.901
5/23/2021,Sumatera Utara,571.573,0.061
5/24/2021,Sumatera Utara,582.823,11.25
5/25/2021,Sumatera Utara,594.671,11.848
5/26/2021,Sumatera Utara,595.277,0.606
5/27/2021,Sumatera Utara,607.534,12.257
5/28/2021,Sumatera Utara,617.981,10.447
5/29/2021,Sumatera Utara,623.161000000,5.18
5/30/2021,Sumatera Utara,623.291000000,0.13
5/31/2021,Sumatera Utara,632.38,9.089
6/1/2021,Sumatera Utara,632.947,0.567
6/2/2021,Sumatera Utara,642.41,9.463
6/3/2021,Sumatera Utara,655.709000000,13.299
6/4/2021,Sumatera Utara,669.748000000,14.039
6/5/2021,Sumatera Utara,675.65,5.902
6/6/2021,Sumatera Utara,675.769,0.119
6/7/2021,Sumatera Utara,691.757000000,15.988
6/8/2021,Sumatera Utara,711.696000000,19.939
6/9/2021,Sumatera Utara,733.555000000,21.859
6/10/2021,Sumatera Utara,757.682000000,24.127
6/11/2021,Sumatera Utara,772.556000000,14.874
6/12/2021,Sumatera Utara,777.567000000,5.011
6/13/2021,Sumatera Utara,778.531000000,0.964
6/14/2021,Sumatera Utara,794.989000000,16.458
6/15/2021,Sumatera Utara,816.135000000,21.146
6/16/2021,Sumatera Utara,843.977000000,27.842
6/17/2021,Sumatera Utara,873.134000000,29.157
6/18/2021,Sumatera Utara,896.319000000,23.185
6/19/2021,Sumatera Utara,906.501000000,10.182
6/20/2021,Sumatera Utara,906.703000000,0.202
6/21/2021,Sumatera Utara,925.302000000,18.599
6/22/2021,Sumatera Utara,946.543000000,21.241
6/23/2021,Sumatera Utara,974.595000000,28.052
6/24/2021,Sumatera Utara,1010.237,35.642
6/25/2021,Sumatera Utara,1047.513,37.276
6/26/2021,Sumatera Utara,1126.743,79.23
6/27/2021,Sumatera Utara,1135.259,8.516
6/28/2021,Sumatera Utara,1210.305,75.046
6/29/2021,Sumatera Utara,1284.768,74.463
6/30/2021,Sumatera Utara,1367.161,82.393
7/1/2021,Sumatera Utara,1414.726,47.565
7/2/2021,Sumatera Utara,1448.534,33.808
7/3/2021,Sumatera Utara,1476.248,27.714
7/4/2021,Sumatera Utara,1486.856,10.608
7/5/2021,Sumatera Utara,1524.005,37.149
7/6/2021,Sumatera Utara,1563.416,39.411
7/7/2021,Sumatera Utara,1602.663,39.247
7/8/2021,Sumatera Utara,1631.769,29.106
7/9/2021,Sumatera Utara,1661.036,29.267
7/10/2021,Sumatera Utara,1683.201,22.165
7/11/2021,Sumatera Utara,1692.379,9.178
7/12/2021,Sumatera Utara,1712.591,20.212
7/13/2021,Sumatera Utara,1734.933,22.342
7/14/2021,Sumatera Utara,1752.224,17.291
7/15/2021,Sumatera Utara,1767.573,15.349
7/16/2021,Sumatera Utara,1785.554,17.981
7/17/2021,Sumatera Utara,1803.914,18.36
7/18/2021,Sumatera Utara,1810.931,7.017
7/19/2021,Sumatera Utara,1817.491,6.56
7/20/2021,Sumatera Utara,1817.662,0.171
7/21/2021,Sumatera Utara,1824.804,7.142
7/22/2021,Sumatera Utara,1828.779,3.975
7/23/2021,Sumatera Utara,1838.193,9.414
7/24/2021,Sumatera Utara,1846.472,8.279
7/25/2021,Sumatera Utara,1850.085,3.613
7/26/2021,Sumatera Utara,1859.658,9.573
7/27/2021,Sumatera Utara,1868.049,8.391
7/28/2021,Sumatera Utara,1874.744,6.695
7/29/2021,Sumatera Utara,1879.646,4.902
7/30/2021,Sumatera Utara,1884.564,4.918
7/31/2021,Sumatera Utara,1888.063,3.499
8/1/2021,Sumatera Utara,1892.601,4.538
8/2/2021,Sumatera Utara,1903.137,10.536
8/3/2021,Sumatera Utara,1911.469,8.332
8/4/2021,Sumatera Utara,1949.445,37.976
8/5/2021,Sumatera Utara,1966.294,16.849
8/6/2021,Sumatera Utara,1991.572,25.278
8/7/2021,Sumatera Utara,2006.471,14.899
8/8/2021,Sumatera Utara,2010.482,4.011
8/9/2021,Sumatera Utara,2029.286,18.804
8/10/2021,Sumatera Utara,2043.646,14.36
8/11/2021,Sumatera Utara,2053.287,9.641
8/12/2021,Sumatera Utara,2073.002,19.715
8/13/2021,Sumatera Utara,2103.183,30.181
8/14/2021,Sumatera Utara,2144.291,41.108
8/15/2021,Sumatera Utara,2148.549,4.258
8/16/2021,Sumatera Utara,2180.364,31.815
8/17/2021,Sumatera Utara,2185.907,5.543
8/18/2021,Sumatera Utara,2218.572,32.665
8/19/2021,Sumatera Utara,2263.171,44.599
8/20/2021,Sumatera Utara,2301.44,38.269
8/21/2021,Sumatera Utara,2332.835,31.395
8/22/2021,Sumatera Utara,2337.378,4.543
8/23/2021,Sumatera Utara,2365.354,27.976
8/24/2021,Sumatera Utara,2393.598,28.244
8/25/2021,Sumatera Utara,2421.975,28.377
8/26/2021,Sumatera Utara,2454.439,32.464
8/27/2021,Sumatera Utara,2489.584,35.145
8/28/2021,Sumatera Utara,2515.209,25.625
8/29/2021,Sumatera Utara,2517.854,2.645
8/30/2021,Sumatera Utara,2548.331,30.477
8/31/2021,Sumatera Utara,2584.687,36.356
9/1/2021,Sumatera Utara,2617.192,32.505
9/2/2021,Sumatera Utara,2650.838,33.646
9/3/2021,Sumatera Utara,2678.222,27.384
9/4/2021,Sumatera Utara,2701.156,22.934
9/5/2021,Sumatera Utara,2702.507,1.351
